2021-04-27 11:14:37,"b'RT @infoBMKG: #Gempa Mag:5.6, 27-Apr-21 16:23:37 WIB, Lok:7.86 LS,106.87 BT (103 km Tenggara KAB-SUKABUMI-JABAR), Kedlmn:14 Km, tdk berpote\xe2\x80\xa6'"
2021-04-27 11:14:37,"b'RT @infoBMKG: #Gempa Mag:5.6, 27-Apr-21 16:23:37 WIB, Lok:7.86 LS,106.87 BT (103 km Tenggara KAB-SUKABUMI-JABAR), Kedlmn:14 Km, tdk berpote\xe2\x80\xa6'"
2021-04-27 11:14:33,"b'RT @infoBMKG: #Gempa Magnitudo: 5.6, Kedalaman: 14 km, 27 Apr 2021 16:23:37 WIB, Koordinat: 7.86 LS-106.87 BT (103 km Tenggara KAB-SUKABUMI\xe2\x80\xa6'"
2021-04-27 11:14:07,"b'RT @SonoraFM92: 16.28 #InfoSonora\n\n#Gempa Mag:5.6, 27-Apr-21 16:23:37 WIB, Lok:7.86 LS,106.87 BT (103 km Tenggara KAB-SUKABUMI-JABAR), Kedl\xe2\x80\xa6'"
2021-04-27 11:14:03,"b'RT @infoBMKG: #Gempa Mag:5.6, 27-Apr-21 16:23:37 WIB, Lok:7.86 LS,106.87 BT (103 km Tenggara KAB-SUKABUMI-JABAR), Kedlmn:14 Km, tdk berpote\xe2\x80\xa6'"
2021-04-27 11:13:51,"b'RT @infoBMKG: #Gempa Mag:5.6, 27-Apr-21 16:23:37 WIB, Lok:7.86 LS,106.87 BT (103 km Tenggara KAB-SUKABUMI-JABAR), Kedlmn:14 Km, tdk berpote\xe2\x80\xa6'"
2021-04-27 11:13:50,"b'RT @infoBMKG: #Gempa Mag:5.6, 27-Apr-21 16:23:37 WIB, Lok:7.86 LS,106.87 BT (103 km Tenggara KAB-SUKABUMI-JABAR), Kedlmn:14 Km, tdk berpote\xe2\x80\xa6'"
2021-04-27 11:13:49,"b'RT @infoBMKG: #Gempa Mag:5.6, 27-Apr-21 16:23:37 WIB, Lok:7.86 LS,106.87 BT (103 km Tenggara KAB-SUKABUMI-JABAR), Kedlmn:14 Km, tdk berpote\xe2\x80\xa6'"
2021-04-27 11:13:33,"b'RT @infoBMKG: #Gempa Mag:5.6, 27-Apr-21 16:23:37 WIB, Lok:7.86 LS,106.87 BT (103 km Tenggara KAB-SUKABUMI-JABAR), Kedlmn:14 Km, tdk berpote\xe2\x80\xa6'"
2021-04-27 11:13:33,"b'RT @infoBMKG: #Gempa Mag:5.6, 27-Apr-21 16:23:37 WIB, Lok:7.86 LS,106.87 BT (103 km Tenggara KAB-SUKABUMI-JABAR), Kedlmn:14 Km, tdk berpote\xe2\x80\xa6'"
